"ID","ACTIVITY_ID","ORIGINAL_ACTIVITY_UUID","ACTIVITY_VERSION","PLAN_UUID","PLAN_VERSION_UUID","TITLE","STATUS","TYPE_UUID","WBS_UUID","LOCATION_INFORMATION","GOAL","IMPACT_NOT_DONE","STATUS_REASON_UUID","STATUS_REASON","STATUS_COMMENT","PARENT_ACTIVITY_STATUS"
"8033baff-7013-4ea6-8c6c-49d88e92041e",11722,"",4,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","New liquefier in P6 for helium management: 2018","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","","Improve the management of the helium inventory during long shutdowns.","Reduced flexibility in helium management.","","","",""
"81578ada-9905-47d7-835b-35baa09f4adc",11833,"",24,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Short Circuit Tests campaign at the end of LS2","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","The tests will be performed in all UAs and RRs, with limitation of access in front of the DFBs only on the day of the test.","The objective of the Short Circuit Test campaign is threefold:
validate the replacement of the water-cooled cable hoses in several points;
validate the maintenance on the 13 kA energy extraction systems in all points
put in operation and validate a permanent monitoring system for the 13 kA conical joints.","The bad cooling of the water-cooled cables could have catastrophic consequences on the integrity of the cables, while a bad conical joint could lead to local melting of the joint itself. In both cases, the stop could be of several weeks, if discovered during operation.
The missing validation of the maintained EE systems could have important consequences on the integrity of the 13 kA circuits, with major consequences.","","","",""
"8572a050-732b-4622-86b4-e3cd82e36c2a",11797,"",3,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Profound maintenance of REX-ISOLDE tube amplifiers and replacement of 101MHz 4.5kW solid state amplifiers","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","3157e161-0abc-4904-8701-ff964eb16b6a","Amplifier room of REX-ISOLDE","Work required to assure the availability of the machine","The profound maintenance requires a downtime of a few weeks. - In case not done during LS2, it might need to be undertaken following a failure.
The current solid state amplifiers show increased failure rates. - So far capacitor replacement was the first cause and this cause has mostly been cured. Now the active elements reach their end of life-time. If the amplifier replacement is postponed, more frequent failures will lead to increased repair and downtime.","","","",""
"85798a58-a88f-4766-93d0-c6144cc9cf02",11736,"",4,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","SM18 integrate application","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","90480566-20d9-40d2-8cc9-ba4a4cd2b530","","SM18 - ""Overview"" application","TBD","","","",""
"8828ec7b-3acb-46c4-bdd1-cef51420c600",11778,"",11,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Linac4 LEBT Redesign","CREATED","34fe46b9-bee1-471c-9adf-09eae0238fd4","90480566-20d9-40d2-8cc9-ba4a4cd2b530","","Optimise beam transport at low energy in Linac4","Difficulty to maintain intensity required for ISOLDE Upgrade","","","",""
"88444f2b-cf1b-4d74-8c34-411a9bfb60d5",11764,"",9,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","PIC -  CPC5 to CPC6 migration","CREATED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","","UNICOS CPC5 component will be not supported after LS2.

This package and its development should be migrated to UNICOS CPC6 version","In case of problems, will be not support available","","","",""
"8a647c2a-eba6-47d2-989e-03a6df32c219",11755,"",3,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","GCS CLOUD PLC code upgrade & consolidation","FINISHED","34fe46b9-bee1-471c-9adf-09eae0238fd4","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","","PLC Software upgrade","Schneider Premium PLC will become obsolete. Require upgrade to M580","","","",""
"8c27415a-067a-4330-9bcf-cd2e945d4b4a",11702,"",9,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","SPS BA5 renovation reseaux et sous stations   HT/BT ","CANCELLED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","d2e22b50-3a19-4d49-9685-b83f02d47c25","SPS5 BA5 BB5","[EDMS 1502229 V1.0 section 4] 
- Consolidation of stable and pulsed networks: primary distribution [HV transformers, HV cables, HV cubicles, LV primary switchboards, auxiliary power supply systems]
- Consolidation of stable and pulsed networks: secondary distribution [LV secondary switchboards, UPS]
- Consolidation of stable and pulsed networks: underground power distribution and lights [underground power distribution, normal lights]
- Cnosolidation of safety network [safety lights, emergency lights, HV transformers, HV cubicles, LV secondary switchboards]","[EDMS 1502229 V1.0 section 7]
Without the consolidation of the electrical networks of the SPS, the reliability of the SPS, the North Area and the LHC may be jeopardized in the coming years, due to the obsolescence of the installed equipment. The safety of personnel may be lowered as well, especially in BA4 and BA5. On the other hand, the proper implementation of the non-EL works foreseen for the LS2 in the underground facility will depend on the reliability of the safety network (due to the impact on the access control systems, ventilation, lifts) as well as the distribution equipment installed underground (lights, power sockets).","","","",""
"8c79f7d1-e854-40c2-8ed0-5b74ddc964ef",11752,"",6,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Beam control upgrade","PARTIALLY_FINISHED","34fe46b9-bee1-471c-9adf-09eae0238fd4","90480566-20d9-40d2-8cc9-ba4a4cd2b530","bat 353","More stable production of LHC-type beams; improved reliability; replacement of obsolete hardware

","More frequent and longer down-time due to hardware failures; beam parameters of LHC-type beams drift with time","","","",""
"8f6f3816-f706-4577-b8f5-9e2f6af6fd76",11816,"",4,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","FEC installation for FMCMs of HiRadMat","FINISHED","34fe46b9-bee1-471c-9adf-09eae0238fd4","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","BA6","have a supervision of the FMCMs installed","loss of machine time in case of FMCM problems, as not diagnostics is possible.","","","",""
"904db44c-8a90-4ed6-bc66-eaa0c3296899",11759,"",4,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","CMS GCS PLC  hardware Upgrade (6 PLCs)","FINISHED","34fe46b9-bee1-471c-9adf-09eae0238fd4","43346cba-fee8-4101-a0ae-a4f3a112da4c","","replacement of Schneider PLCs (new chassis and profibus interface) to new Ethernet IP type (M340/580)","Schneider Premium PLC will become obsolete. Require upgrade to M580","","","",""
"93a7714c-8e97-4b7c-95f2-9274efe62af2",11727,"",5,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Consolidate the Linac 2 ventilation control and regulation system","CANCELLED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","77f4b809-60e8-4794-aee1-a164b0417f96","bldg. 363","Full replacement of the control and power cubicles.","Ventilation of the area not ensured, frequently stopped, impossibility to evacuate heat load for future L4 equipment","","","",""
"9548aeb7-48af-4b33-8a6b-552fad7a931c",11725,"",4,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","New cryodistribution for AD: 2019","PARTIALLY_FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","90480566-20d9-40d2-8cc9-ba4a4cd2b530","","Create a new cryodistribution system for AD.","No improvment in liquid helium handling.","","","",""
"98060e3a-5d37-4a29-9c5e-4ab702ef8e2c",11758,"",4,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Atlas GCS PLC  hardware Upgrade (8 PLCs)","FINISHED","34fe46b9-bee1-471c-9adf-09eae0238fd4","3d4e541c-ce20-40b8-a939-d53051178b23","","replacement of Schneider PLCs (new chassis and profibus interface) to new Ethernet IP type (M340/580) (8PLCs)","Schneider Premium PLC will become obsolete. Require upgrade to M580","","","",""
"9a9cc679-3076-41be-8820-182904ed4a7d",11841,"",5,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Decabling Linac3 source cage 2022-2023 YETS","CREATED","309dc13f-2c24-43ff-9fdb-d0e9535b5a46","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","bldg 351","de-cabling the unused cables in the Linac3 source cage.
Being proposed for YETS22-23","potential impediment to smooth operationc","","","",""
"9bc3ab2c-b720-4098-a09f-131b6c3770b4",11745,"",6,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Renovation - Beam Imminent Warning & Evacuation - SPS North Area - Evacuation Centrals (include Evacuation Matrixes)","CANCELLED","34fe46b9-bee1-471c-9adf-09eae0238fd4","3157e161-0abc-4904-8701-ff964eb16b6a","North Area","Renovation - Beam Imminent Warning & Evacuation - SPS North Area - Evacuation Centrals (include Evacuation Matrixes)
No resources attributed for LS2 (EDMS: 1716309). 
To be plan for LS3 or LS4. According to the available resources for LS3 and LS4, to be prioritised what is more critical: the renovation of alarms systems in the LHC or in the SPS North Area.","System obsolete, no spares available","","","",""
"9bc9ddf3-415d-4b71-bb6e-c599c543d51b",11721,"",7,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Consolidate the control system of the North Area cooling towers","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","c6d2a08f-cd8b-4078-8120-f2de717a2333","bldg. 893.
Attention: the real location is in the NA and not on the SPS complex","Replace the control cubicle (in particular S5 cards) and  refurbish the power cubicle. If possible implement a new control software","The control part is obsolete, a failure of S5 cards will not allow any repair and the consequent stop of the activities in the NA","","","",""
"9c505c66-35cd-4be6-be7c-58a9131a32ac",11767,"",14,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Supply new converters for Cluster F of  HL-LHC Magnet Test Bed","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","0e3e982c-7b37-49bf-89bc-3871dc856cb3","Building SM18","Supply of new power converters for Cluster D of  HL-LHC Magnet Test Bed :
-	RM.F  20 kA
-	2 x [2kA/10V]","No possibility to test HL-LHC protoype magnets and HL-LHC String","","","",""
"9d0c98c7-f27e-48dc-ad61-a407a78494e4",11771,"",17,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Installation of new 20.kA converter for EPC DCCT Test Bed","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","6d4ba86a-83de-4b52-bce5-54ec72fc6a1d","Building 377","Replacement of the old 20 kA test bed power converter by a new one","No possibility to test new DCCTs before their integration in the power converters","","","",""
"a04948fd-8f82-4164-9785-22b80bb8bf55",11826,"",8,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Install the new demineralised water production plant in bld 176 - PJ_341","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","90480566-20d9-40d2-8cc9-ba4a4cd2b530","Building 176","Install the new demineralised water production plant in bld 176","","","","",""
"a231ce0d-400b-41ad-a83f-d68c7b6f803e",11827,"",6,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","Renovation of 2 LEIR  extraction dipole magnets","FINISHED","0ea08158-f1fd-4365-b49e-6fdcfc2ba401","90480566-20d9-40d2-8cc9-ba4a4cd2b530","EE line magnets","Renovate magnets","Recurrent failures  of the cooling circuits","","","",""
